0x08008A72	44	p"Unable to find area"
0x0803E024	36	Assertion Failure!
0x0805553C	88	"Expected dialog to start with a code block"
0x080555C8	78	"Internal equipment consistency error!"
0x0805794A	26	Single Player
0x0805797E	28	Wireless Slave
0x0805799C	30	Wireless Master
0x08057A26	32	Switch Character
0x08057A80	30	Sound FX Volume
0x08057AA0	24	Music Volume
0x08057B38	26	Are you sure?
0x08057B8C	30	Completed Goals
0x08057CF2	38	{05}TIME: {76}%d:%02d{02}
0x08057F58	30	Unequip from %s
0x08057F82	44	No Equipment Available
0x08057FB0	32	Can't drop here!
0x08057FEA	28	No Story Items
0x0805801A	24	Trading Post
0x08058054	38	{05}Friend's Trade:{02}
0x08058088	36	How many to trade?
0x080580AE	26	Propose Trade
0x080580E8	46	You have accepted trade
0x08058138	46	Waiting for a friend...
0x08058168	28	No Saved Games
0x08058186	52	Please select a saved game
0x080581BC	24	Disconnected
0x080581D6	34	Select Saved Game
0x0805821C	26	Balanced Mode
0x08058238	24	In-Game Mode
0x08058252	30	Character Mode:
0x0805828E	74	Battle with your friends in the Dojo!
0x080582DA	44	Choose your character!
0x08058390	32	Grab your prize!
0x080583B2	40	Go back to training!
0x0805841E	26	SS Teen Gohan
0x0805843A	24	Mystic Gohan
0x08058454	28	Great Saiyaman
0x0805867A	46	Press A Button To Punch
0x0805891C	28	Database Empty
0x0805893A	26	-None- (Body)
0x0805896C	38	A simple cotton gi.
0x08058994	28	-None- (Hands)
0x080589B4	26	-None- (Feet)
0x080589D2	40	-None- (Accessories)
0x080589FE	24	Wool Sweater
0x08058A18	58	A thick knitted wool sweater.
0x08058A54	28	Leather Jacket
0x08058A72	60	A cool looking leather jacket.
0x08058AB0	24	Wooden Armor
0x08058ACA	50	Armor carved out of wood.
0x08058AFE	26	Stone O-Yoroi
0x08058B1A	96	A traditional samurai armor carved out of stone.
0x08058B7C	24	Bronze Keiko
0x08058B96	98	A traditional samurai scale armor made of bronze.
0x08058C10	52	A chestplate made of iron.
0x08058C46	24	Silver Armor
0x08058C60	56	A chestplate made of silver.
0x08058CB0	52	A chestplate made of gold.
0x08058CE6	28	Platinum Armor
0x08058D04	60	A chestplate made of platinum.
0x08058D42	26	Diamond Armor
0x08058D5E	86	A chestplate carved out of a giant diamond.
0x08058DB6	40	Geromantium Kataginu
0x08058DE0	102	A traditional samurai clothing made of Geromantium.
0x08058E48	32	Reflective Tunic
0x08058E6A	132	A tunic made of a reflective material resistant to energy attacks.
0x08058F06	90	The kind of coat a real tough guy might wear.
0x08058F78	174	A traditional samurai scale armor made of jade that reduces damage done while blocking.
0x08059028	24	Mystic Aegis
0x08059042	128	A mystical chestplate that reduces the cost of the energy block.
0x080590DC	118	Maybe you should get this shirt cleaned before you wear it.
0x08059166	112	Maybe you should get this gi cleaned before you wear it.
0x080591F0	118	Maybe you should get this armor cleaned before you wear it.
0x08059280	54	A shirt so clean it shines!
0x080592CA	48	A gi so clean it shines!
0x08059314	56	An armor so clean it shines!
0x0805934E	42	Prototype Space Armor
0x0805937A	82	It's a prototype so it isn't working yet.
0x080593CE	40	Enhanced Space Armor
0x080593F8	92	This high tech armor emits an electronic aura.
0x08059456	36	Spiked Breastplate
0x0805947C	92	This breastplate is covered with sharp spikes.
0x080594DA	34	Halloween Costume
0x080594FE	62	It's a scary Halloween costume.
0x0805953E	46	Rhinestone Leisure Suit
0x0805956E	66	This a really tacky looking suit.
0x080595B2	28	Fancy Wardrobe
0x080595D0	62	This suit is expensive looking.
0x08059610	26	Stylish Haori
0x0805962C	112	Wearing this stylish jacket gives you a lot of charisma.
0x0805969E	36	Do-Maru of Shadows
0x080596C4	106	A traditional samurai armor that is good for stealth.
0x08059748	90	A simple monks robe that is good for stealth.
0x080597BC	114	This armor has magic that makes Super Saiyan last longer.
0x08059842	76	This suit helps you catch better fish.
0x08059890	24	Pyrite Armor
0x080598AA	92	It looks like Gold Amor, but it's fool's gold!
0x08059908	28	Armor of Light
0x08059926	144	This magic armor makes your energy regenerate faster when you use melee.
0x080599B8	34	Armor of Darkness
0x080599DC	132	This magic armor makes your HP increase faster when you use melee.
0x08059A78	92	This suit is imbued with the power of science.
0x08059AD6	30	Crystal O-Yoroi
0x08059AF6	122	The crystals in this armor make your energy attacks stronger.
0x08059B72	40	Titanium Breastplate
0x08059B9C	62	A breastplate made of titanium.
0x08059BDC	30	"BAD MAN" Shirt
0x08059BFC	106	A pink shirt? Who would wear such a ridiculous thing?
0x08059C7C	76	This magic armor constantly heals you.
0x08059CCA	24	Dragon Armor
0x08059CE4	150	Armor made from the scales of a dragon. Reduces the cost of energy attacks.
0x08059D7C	24	Saiyan Armor
0x08059D96	66	Armor like the Saiyans once wore.
0x08059DDA	26	Cotton Gloves
0x08059DF6	62	A pair of simple cotton gloves.
0x08059E36	24	Wool Mittens
0x08059E50	74	A pair of thick knitted wool mittens.
0x08059E9C	28	Leather Gloves
0x08059EBA	58	Gloves made of tough leather.
0x08059EF6	28	Brass Knuckles
0x08059F14	50	A pair of brass knuckles.
0x08059F60	52	An arm guard made of iron.
0x08059F96	32	Silver Gauntlets
0x08059FB8	70	A pair of gauntlets made of silver.
0x0805A000	36	Platinum Gauntlets
0x0805A026	74	A pair of gauntlets made of platinum.
0x0805A072	34	Diamond Gauntlets
0x0805A096	84	A pair of gauntlets carved from a diamond.
0x0805A0EC	36	Geromantium Gloves
0x0805A112	74	A pair of gloves made of Geromantium.
0x0805A15E	34	Reflective Gloves
0x0805A182	150	A pair of gloves made of a reflective material resistant to energy attacks.
0x0805A21A	24	Brute Gloves
0x0805A234	94	The kind of gloves a real tough guy might wear.
0x0805A294	28	1 Ton Armbands
0x0805A2B2	148	Weighted armbands slow you down, but give you more experience as a reward.
0x0805A348	28	2 Ton Armbands
0x0805A366	148	Weighted armbands slow you down, but give you more experience as a reward.
0x0805A3FC	30	10 Ton Armbands
0x0805A41C	148	Weighted armbands slow you down, but give you more experience as a reward.
0x0805A4B2	30	20 Ton Armbands
0x0805A4D2	148	Weighted armbands slow you down, but give you more experience as a reward.
0x0805A568	32	100 Ton Armbands
0x0805A58A	148	Weighted armbands slow you down, but give you more experience as a reward.
0x0805A620	32	Kiloton Armbands
0x0805A642	148	Weighted armbands slow you down, but give you more experience as a reward.
0x0805A6D8	34	Magician's Gloves
0x0805A6FC	108	These magic gloves reduce the cost of an energy block.
0x0805A76A	24	Dirty Gloves
0x0805A784	122	Maybe you should get these gloves cleaned before you wear it.
0x0805A800	30	Dirty Gauntlets
0x0805A820	128	Maybe you should get these gauntlets cleaned before you wear it.
0x0805A8A2	24	Clean Gloves
0x0805A8BC	54	Gloves so clean they shine!
0x0805A8F4	30	Clean Gauntlets
0x0805A914	60	Gauntlets so clean they shine!
0x0805A952	46	Prototype Energy Gloves
0x0805A982	82	It's a prototype so it isn't working yet.
0x0805A9D6	44	Enhanced Energy Gloves
0x0805AA04	72	These are powerful high tech gloves.
0x0805AA4E	30	Power Gauntlets
0x0805AA6E	80	These gauntlets are glowing with energy.
0x0805AAC0	24	Super Gloves
0x0805AADA	118	These gloves have magic that make Super Saiyan last longer.
0x0805AB52	24	Scuba Gloves
0x0805AB6C	82	These gloves helps you catch better fish.
0x0805ABC0	34	Geromantis Gloves
0x0805ABE4	132	Looks like Geromantium Gloves, but are actually a cheap knock-off.
0x0805AC6A	26	Charge Gloves
0x0805AC86	120	You can detect power flowing through these high tech gloves.
0x0805AD00	34	Crystal Gauntlets
0x0805AD24	132	The crystals in these gauntlets make your energy attacks stronger.
0x0805ADAA	26	Saiyan Gloves
0x0805ADC6	68	Gloves like the Saiyans once wore.
0x0805AE0C	28	Pilaf's Gloves
0x0805AE2A	108	Legend has it wearing these gloves will make you rich!
0x0805AEB0	50	Simple cotton tabi boots.
0x0805AEE4	24	Woolen Shoes
0x0805AEFE	54	Shoes made of knitted wool.
0x0805AF36	34	Leather Moccasins
0x0805AF5A	78	Moccasins made of thick tanned leather.
0x0805AFC2	42	Sandals made of wood.
0x0805B004	44	Sandals made of stone.
0x0805B032	38	Bronze Plated Boots
0x0805B05A	78	Leather boots covered in bronze plates.
0x0805B0AA	24	Iron Greaves
0x0805B0C4	50	Shin-guards made of iron.
0x0805B0F8	24	Silver Boots
0x0805B112	42	Boots made of silver.
0x0805B154	38	Boots made of gold.
0x0805B17C	32	Geromantium Tabi
0x0805B19E	62	Tabi boots made of Geromantium.
0x0805B1DE	28	Winged Sandals
0x0805B1FC	110	These winged sandals will make you walk and run faster.
0x0805B284	142	Weighted boots slow you down, but give you more experience as a reward.
0x0805B32C	142	Weighted boots slow you down, but give you more experience as a reward.
0x0805B3BC	24	10 Ton Boots
0x0805B3D6	142	Weighted boots slow you down, but give you more experience as a reward.
0x0805B466	24	20 Ton Boots
0x0805B480	142	Weighted boots slow you down, but give you more experience as a reward.
0x0805B510	26	100 Ton Boots
0x0805B52C	142	Weighted boots slow you down, but give you more experience as a reward.
0x0805B5BC	26	Kiloton Boots
0x0805B5D8	142	Weighted boots slow you down, but give you more experience as a reward.
0x0805B67E	134	Maybe you should get these tabi boots cleaned before you wear them.
0x0805B71E	124	Maybe you should get these shoes cleaned before you wear them.
0x0805B7B4	124	Maybe you should get these boots cleaned before you wear them.
0x0805B848	62	Tabi boots so clean they shine!
0x0805B8A0	52	Shoes so clean they shine!
